Number,Toggle Title,Text Content,Original Image URL,Optimised Image URL,Category,Category_Number,Text_File_URL,HTML_File_URL,HTML_Post_Link
1,Simplify,"People overcomplicate {thing}

Listen, if you're a {experience level}:

Avoid:

- {thing they should avoid}
- {thing they should avoid}
- {thing they should avoid}
- {thing they should avoid}

Instead:

- {thing they should do}
- {thing they should do}
- {thing they should do}

Focus on this for the first {time frame}.
Build from there.
",https://mad4viz.github.io/Lara_Winning_Templates/images/full-quality-images/1_simplify.jpg,https://mad4viz.github.io/Lara_Winning_Templates/images/optimised-images/1_simplify.jpg,Best Practices,1,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Best_Practices/01_Simplify.md,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Best_Practices/01_Simplify.html,https://mad4viz.github.io/Lara_Winning_Templates/image_templates/Best_Practices/01_Simplify.html
2,Generate ideas For Hooks,"How you think you should {action} on {social media platform}:

- {Wrong practice}
- {Wrong practice}
- {Wrong practice}

How you actually {action} on {social media platform}:

- Educational content around {pain point}
- Free resources to solve {pain point}
- Consistent value and {proof}

Strong CTA's are good but strong brands are better.

Make people WANT to {action} from you.

Don't force them.",https://mad4viz.github.io/Lara_Winning_Templates/images/full-quality-images/2_generate_ideas_for_hooks.jpg,https://mad4viz.github.io/Lara_Winning_Templates/images/optimised-images/2_generate_ideas_for_hooks.jpg,Reality Check,1,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Reality_Check/01_Generate_ideas_For_Hooks.md,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Reality_Check/01_Generate_ideas_For_Hooks.html,https://mad4viz.github.io/Lara_Winning_Templates/image_templates/Reality_Check/01_Generate_ideas_For_Hooks.html
3,A transformation,"{Time frame} ago, I stopped {action}.

{Context}.

And no:
- {Misconception 1}
- {Misconception 2}
- {Misconception 3}

{Context}

In fact, since I stopped {action}:
- {Achievement 1}
- {Achievement 2}
- {Achievement 3}

{Sassy statement}

And {time frame} later, I've never been clearer on my reasons to never {action} again.

{Result}",https://mad4viz.github.io/Lara_Winning_Templates/images/full-quality-images/3_a_transformation.jpg,https://mad4viz.github.io/Lara_Winning_Templates/images/optimised-images/3_a_transformation.jpg,Personal Growth,1,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Personal_Growth/01_A_transformation.md,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Personal_Growth/01_A_transformation.html,https://mad4viz.github.io/Lara_Winning_Templates/image_templates/Personal_Growth/01_A_transformation.html
4,2023 vs. 2024,"Everyone says that {thing} changed their life

But this one thing levelled up mine completely.

→ [what you did]

In 2023:
- {things that you were doing wrong/not working}
- {things that you were doing wrong/were not working}
- {things that you were doing wrong/were not working}

In 2024:
- {things that you did right}
- {things that you did right}
- {things that you did right}
Here's exactly what I did:

- {Step}
- {Step}
- {Step}
- {Step}
- {Step}

People who are winning aren't better than you. They just {what do winners do}.

There's space for all of us to win here, we're early.",https://mad4viz.github.io/Lara_Winning_Templates/images/full-quality-images/4_2023_vs_2024.jpg,https://mad4viz.github.io/Lara_Winning_Templates/images/optimised-images/4_2023_vs_2024.jpg,Timelines,1,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Timelines/01_2023_vs_2024.md,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Timelines/01_2023_vs_2024.html,https://mad4viz.github.io/Lara_Winning_Templates/image_templates/Timelines/01_2023_vs_2024.html
5,Your #1 Niche Tip,"My #1 {your niche} {method} tip: {your tip}

(especially if you're trying to grow)

{Platform} just hit {Metric}; if you want to reach them:
- Remember they don't know you
- Remember they're here to be educated
- Remember they're here to be entertained

It's a social media platform after all.

If you want to reach them all, you need to:
- {tip point 1}
- {tip point 2}
- {tip point 3}
- {tip point 4}
- {tip point 5}

Bonus: {bonus tip}

Don't: {Non-example of the tip}

Do: {Example of the tip}

CLEAR difference.

Your post is a roadmap to your idea.

Get the {end goal of your tip}.

They'll reward you by consuming your content, daily.",https://mad4viz.github.io/Lara_Winning_Templates/images/full-quality-images/5_your_1_niche_tip.jpg,https://mad4viz.github.io/Lara_Winning_Templates/images/optimised-images/5_your_1_niche_tip.jpg,Tips,1,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Tips/01_Your_1_Niche_Tip.md,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Tips/01_Your_1_Niche_Tip.html,https://mad4viz.github.io/Lara_Winning_Templates/image_templates/Tips/01_Your_1_Niche_Tip.html
6,Something crazy happened,"Yesterday, I did {crazy thing for work}.

That same action lead to:

- {Result 1}
- {Result 2}
- {Result 3}

{Context}

Here's {number} reason's it worked:
- {Reason 1}
- {Reason  2}
- {Reason 3}

The best part? I didn't have to do {Hard thing}

I simply did {simple thing}

PS:…",https://mad4viz.github.io/Lara_Winning_Templates/images/full-quality-images/6_something_crazy_happened.jpg,https://mad4viz.github.io/Lara_Winning_Templates/images/optimised-images/6_something_crazy_happened.jpg,Success Stories,1,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Success_Stories/01_Something_crazy_happened.md,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Success_Stories/01_Something_crazy_happened.html,https://mad4viz.github.io/Lara_Winning_Templates/image_templates/Success_Stories/01_Something_crazy_happened.html
7,Your definition of success,"Success looks different for everyone.

For me, it's about {your definition of success}.

{What you did to achieve your success}

Success? Check.

We made it, {person involved in your definition of success, if any}.

",https://mad4viz.github.io/Lara_Winning_Templates/images/full-quality-images/7_your_definition_of_success.jpg,https://mad4viz.github.io/Lara_Winning_Templates/images/optimised-images/7_your_definition_of_success.jpg,Success Stories,2,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Success_Stories/02_Your_definition_of_success.md,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Success_Stories/02_Your_definition_of_success.html,https://mad4viz.github.io/Lara_Winning_Templates/image_templates/Success_Stories/02_Your_definition_of_success.html
8,Harsh Truth,"Harsh {thing} truth:

{Doing thing} is only half the job done on {platform}
- You need to {action} 
- You need to {action} 
- You need to {action}
- You need to {action}

STOP doing {bad practice}
START doing {new and improved practice}

",https://mad4viz.github.io/Lara_Winning_Templates/images/full-quality-images/8_harsh_truth.jpg,https://mad4viz.github.io/Lara_Winning_Templates/images/optimised-images/8_harsh_truth.jpg,Truth Bombs,1,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Truth_Bombs/01_Harsh_Truth.md,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Truth_Bombs/01_Harsh_Truth.html,https://mad4viz.github.io/Lara_Winning_Templates/image_templates/Truth_Bombs/01_Harsh_Truth.html
9,Comparative (changes),"I lasted {duration} in my {previous job}.

- It was {negative thing}.
- I wasn't {thing}
- It was {negative thing}

{context}

{timeframe} later, I did {life-changing thing}
- I had {challenge or limitation}
- I had {challenge or limitation}
- I had {challenge or limitation}

Today:
- I'm {positive adjective}
- I'm {positive adjective}
- I'm {positive adjective}

{positive reflection}


",https://mad4viz.github.io/Lara_Winning_Templates/images/full-quality-images/9_comparative_changes.jpg,https://mad4viz.github.io/Lara_Winning_Templates/images/optimised-images/9_comparative_changes.jpg,Timelines,2,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Timelines/02_Comparative_changes.md,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Timelines/02_Comparative_changes.html,https://mad4viz.github.io/Lara_Winning_Templates/image_templates/Timelines/02_Comparative_changes.html
10,Mindset Shift,"This 1 mindset shift changed everything.

When I started {thing} I focused on:
{things you did wrong}
{things you did wrong}
{things you did wrong}

I burned out, but not because I was working hard..

It was because my goals didn't align with my purpose.

I was chasing {wrong goals}, not {right goals}.
I was chasing {wrong goals}, not {right goals}.
I was chasing {wrong goals}, not {right goals}.

The reason? My {external factor} made me think that was the goal.

""Woah, everyone has that, so I should too""

A slippery slope.
And an endless chase for {unreal result}.
Because no matter how many success stories we read.

There are 10x failure ones underneath.
Remember that next time you want to quit.
Or feel burned out. Rest and reassess.

Flip the narrative → focus on growing you.
(until the focus is you)",https://mad4viz.github.io/Lara_Winning_Templates/images/full-quality-images/10_mindset_shift.jpg,https://mad4viz.github.io/Lara_Winning_Templates/images/optimised-images/10_mindset_shift.jpg,Personal Growth,2,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Personal_Growth/02_Mindset_Shift.md,https://mad4viz.github.io/Lara_Winning_Templates/content_templates/Personal_Growth/02_Mindset_Shift.html,https://mad4viz.github.io/Lara_Winning_Templates/image_templates/Personal_Growth/02_Mindset_Shift.html
